country_name,year,num_outbreaks,diseases_list,total_confirmed_cases,total_outbreak_deaths,avg_cfr,iso3,total_vaccinations,people_fully_vaccinated,total_boosters,vaccinations_per_hundred,fully_vaccinated_per_hundred,max_daily_vaccinations,who_alerts,who_diseases,who_total_cases,who_total_deaths,who_avg_cfr,who_high_risk_alerts
Costa Rica,2020.0,,,,,,CRI,55.0,,,0.0,,240.0,,,,,,
Costa Rica,2021.0,,,,,,CRI,7756348.0,3505176.0,306240.0,149.71,67.66,87355.0,,,,,,
Costa Rica,2022.0,,,,,,CRI,12606343.0,4290783.0,2774381.0,243.33,82.82,57857.0,,,,,,
Costa Rica,2023.0,,,,,,CRI,13576935.0,4369784.0,2986527.0,262.06,84.35,7965.0,,,,,,
Cote d'Ivoire,2021.0,,,,,,CIV,7113233.0,2162458.0,,25.26,7.68,121105.0,,,,,,
Cote d'Ivoire,2022.0,,,,,,CIV,23755644.0,11660147.0,2031641.0,84.36,41.41,119128.0,,,,,,
Cote d'Ivoire,2023.0,,,,,,CIV,25263932.0,12164304.0,3138712.0,89.71,43.2,30255.0,,,,,,
Croatia,2020.0,,,,,,HRV,7864.0,,,0.2,,1105.0,,,,,,
Croatia,2021.0,,,,,,HRV,4729751.0,1953540.0,,117.35,48.47,35538.0,,,,,,
Croatia,2022.0,,,,,,HRV,5354058.0,2250557.0,594785.0,132.84,55.84,18595.0,,,,,,
Croatia,2023.0,,,,,,HRV,5374628.0,2251809.0,,133.35,55.87,292.0,,,,,,
Cuba,2021.0,,,,,,CUB,30874045.0,9672464.0,2174094.0,275.36,86.27,321878.0,,,,,,
Cuba,2022.0,,,,,,CUB,42712334.0,10003939.0,8675091.0,380.95,89.22,183021.0,,,,,,
Cuba,2023.0,,,,,,CUB,45622024.0,10031911.0,8772388.0,406.9,89.47,38967.0,,,,,,
Cuba,2024.0,,,,,,CUB,45995747.0,10053658.0,8792717.0,410.23,89.67,1952.0,,,,,,
Curacao,2021.0,,,,,,CUW,217092.0,96611.0,16095.0,113.56,50.54,3452.0,,,,,,
Curacao,2022.0,,,,,,CUW,256029.0,99955.0,47473.0,133.93,52.29,1741.0,,,,,,
Curacao,2023.0,,,,,,CUW,260324.0,100885.0,49213.0,136.17,52.77,24.0,,,,,,
Cyprus,2021.0,,,,,,CYP,1541159.0,607884.0,268304.0,172.0,67.84,12513.0,,,,,,
Cyprus,2022.0,,,,,,CYP,1797542.0,646021.0,480552.0,200.62,72.1,7036.0,,,,,,
Cyprus,2023.0,,,,,,CYP,1798610.0,646142.0,481275.0,200.74,72.11,17.0,,,,,,
Czech Republic,2020.0,1.0,COVID-19,730000.0,12100.0,1.7,,,,,,,,,,,,,
Czechia,2020.0,,,,,,CZE,11879.0,1.0,,0.11,0.0,3093.0,,,,,,
Czechia,2021.0,,,,,,CZE,15499506.0,6661480.0,2412094.0,147.7,63.48,98393.0,,,,,,
Czechia,2022.0,,,,,,CZE,18601405.0,6893506.0,5141790.0,177.26,65.69,75918.0,,,,,,
